Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Fold,Oversampler,Variant,SVM,Sampler_Status,Sampler_Detail,Majority_Before,Minority_Before,Majority_After,Minority_After,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,1,SMOTE,Baseline,--,success,fit_resample,456,142,456,456,314,314,0,314,0.0033,0.0106,0.0106
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,1,ADASYN,Baseline,--,success,fit_resample,456,142,463,456,314,314,0,321,0.0047,0.0151,0.0151
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,1,BorderlineSMOTE,Baseline,--,success,fit_resample,456,142,456,456,314,314,0,314,0.0047,0.015,0.015
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,1,KMeansSMOTE,Baseline,--,success,"{""k_neighbors"": 5, ""cluster_balance_threshold"": 0.0, ""kmeans_estimator"": ""default""}",456,142,460,456,314,314,0,318,0.0245,0.0779,0.0779
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,1,SVMSMOTE,Baseline,--,success,fit_resample,456,142,456,456,314,314,0,314,0.0189,0.0602,0.0602
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,1,Full BSSMOTE Linear,Full BSSMOTE,Linear,success,fit_resample,456,142,339,161,19,19,117,-98,0.0431,2.2709,2.2709
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,1,Full BSSMOTE RBF,Full BSSMOTE,RBF,success,fit_resample,456,142,339,166,24,24,117,-93,0.0464,1.9327,1.9327
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,1,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,success,fit_resample,456,142,456,146,4,4,0,4,0.0096,2.3891,2.3891
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,1,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,success,fit_resample,456,142,456,154,12,12,0,12,0.0199,1.6589,1.6589
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,1,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,success,fit_resample,456,142,339,157,15,15,117,-102,0.0352,2.3475,2.3475
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,1,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,success,fit_resample,456,142,339,155,13,13,117,-104,0.0435,3.3453,3.3453
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,1,BSSMOTE w/o SVM,w/o SVM,--,success,fit_resample,456,142,339,332,190,190,117,73,0.036,0.1897,0.1897
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,2,None,None,--,not_applied,baseline_no_resampling,456,142,456,142,0,0,0,0,0.0008,,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,2,SMOTE,Baseline,--,success,fit_resample,456,142,456,456,314,314,0,314,0.004,0.0127,0.0127
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,2,ADASYN,Baseline,--,success,fit_resample,456,142,471,456,314,314,0,329,0.0046,0.0145,0.0145
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,2,BorderlineSMOTE,Baseline,--,success,fit_resample,456,142,456,456,314,314,0,314,0.0047,0.0148,0.0148
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,2,KMeansSMOTE,Baseline,--,success,"{""k_neighbors"": 5, ""cluster_balance_threshold"": 0.0, ""kmeans_estimator"": ""default""}",456,142,461,456,314,314,0,319,0.0258,0.0822,0.0822
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,2,SVMSMOTE,Baseline,--,success,fit_resample,456,142,456,456,314,314,0,314,0.0161,0.0513,0.0513
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,2,Full BSSMOTE Linear,Full BSSMOTE,Linear,success,fit_resample,456,142,334,163,21,21,122,-101,0.0399,1.9023,1.9023
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,2,Full BSSMOTE RBF,Full BSSMOTE,RBF,success,fit_resample,456,142,334,156,14,14,122,-108,0.0471,3.3654,3.3654
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,2,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,success,fit_resample,456,142,456,167,25,25,0,25,0.0113,0.4515,0.4515
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,2,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,success,fit_resample,456,142,456,144,2,2,0,2,0.0205,10.2643,10.2643
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,2,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,success,fit_resample,456,142,334,157,15,15,122,-107,0.0361,2.4051,2.4051
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,2,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,success,fit_resample,456,142,334,157,15,15,122,-107,0.0431,2.8701,2.8701
