Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Majority_Count,Minority_Count,Fold,Oversampler,Variant,SVM,Model,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms,Model_Fit_Time_s,Prediction_Time_s,Sampler_Status,Model_Status,Seed
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,RF,0.3889,0.4375,0.3964,0.5749,6,6,34,-28,0.1784,29.7326,29.7326,0.4381,0.0289,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,LightGBM,0.3158,0.375,0.417,0.5164,6,6,34,-28,0.1784,29.7326,29.7326,0.0332,0.0038,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,BSSMOTE w/o SVM,w/o SVM,--,DT,0.3,0.375,0.2809,0.5083,81,81,31,50,0.0578,0.7135,0.7135,0.0098,0.0008,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,BSSMOTE w/o SVM,w/o SVM,--,RF,0.4,0.5,0.4091,0.6055,81,81,31,50,0.0578,0.7135,0.7135,0.301,0.0274,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,BSSMOTE w/o SVM,w/o SVM,--,LightGBM,0.3478,0.5,0.4357,0.5774,81,81,31,50,0.0578,0.7135,0.7135,0.0233,0.0042,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,None,None,--,DT,0.4286,0.5625,0.3558,0.6423,0,0,0,0,0.0016,,,0.0028,0.0006,not_applied,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,None,None,--,RF,0.4167,0.3125,0.4172,0.5137,0,0,0,0,0.0016,,,0.2971,0.029,not_applied,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,None,None,--,LightGBM,0.3333,0.25,0.3509,0.4534,0,0,0,0,0.0016,,,0.0222,0.0046,not_applied,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,SMOTE,Baseline,--,DT,0.45,0.5625,0.3679,0.6519,115,115,0,115,0.0067,0.0581,0.0581,0.0032,0.0016,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,SMOTE,Baseline,--,RF,0.381,0.5,0.3812,0.5963,115,115,0,115,0.0067,0.0581,0.0581,0.4863,0.0315,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,SMOTE,Baseline,--,LightGBM,0.35,0.4375,0.3475,0.5578,115,115,0,115,0.0067,0.0581,0.0581,0.0271,0.0041,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,ADASYN,Baseline,--,DT,0.3636,0.5,0.313,0.5869,100,100,0,100,0.006,0.0604,0.0604,0.003,0.0006,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,ADASYN,Baseline,--,RF,0.3636,0.5,0.389,0.5869,100,100,0,100,0.006,0.0604,0.0604,0.5323,0.0487,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,3,ADASYN,Baseline,--,LightGBM,0.36,0.5625,0.339,0.6021,100,100,0,100,0.006,0.0604,0.0604,0.0276,0.0042,success,success,42
