Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Fold,SVM_Kernel,Noise_Scale,SVM_Margin,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Instance_ms,Status,Message
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,4,rbf,0.05,1.5,0.3958333333333333,0.5428571428571428,0.33478635795475375,0.6362090102803518,28,28,118,-90,0.0468289852142334,1.6724637576511927,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,5,rbf,0.05,1.5,0.2978723404255319,0.4,0.2706229586303835,0.5331139899831832,36,36,137,-101,0.045308589935302734,1.258571942647298,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,1,linear,0.05,0.25,0.7431972789115646,0.8810483870967742,0.6907903233672379,0.8744452059435888,156,156,1020,-864,0.3030121326446533,1.9423854656708546,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,2,linear,0.05,0.25,0.7188498402555911,0.907258064516129,0.680248208585722,0.8761037524834432,154,154,1041,-887,1.6604101657867432,10.78188419342041,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,3,linear,0.05,0.25,0.7205651491365777,0.9272727272727272,0.6901384329955759,0.8847983106813586,149,149,1029,-880,1.4986183643341064,10.057841371369843,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,4,linear,0.05,0.25,0.7018121911037891,0.8606060606060606,0.6461083671956818,0.8510726237747188,155,155,1017,-862,0.8878445625305176,5.728029435680758,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,5,linear,0.05,0.25,0.6930232558139535,0.9030303030303031,0.655125030008751,0.8640601002453923,151,151,1041,-890,0.31606411933898926,2.0931398631721145,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,1,linear,0.05,0.5,0.7431972789115646,0.8810483870967742,0.6907903233672379,0.8744452059435888,156,156,1020,-864,0.33838868141174316,2.1691582141778407,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,2,linear,0.05,0.5,0.7188498402555911,0.907258064516129,0.680248208585722,0.8761037524834432,154,154,1041,-887,0.3278367519378662,2.1288100775186116,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,3,linear,0.05,0.5,0.7205651491365777,0.9272727272727272,0.6901384329955759,0.8847983106813586,149,149,1029,-880,0.34725403785705566,2.330564012463461,success,
