Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Oversampler,Variant,SVM,Model,Precision_mean,Precision_std,Recall_mean,Recall_std,AUC_PR_mean,AUC_PR_std,GMean_mean,GMean_std,Generated_Samples_mean,Generated_Samples_std,Resample_Time_mean,Resample_Time_std,Time_per_Generated_ms_mean,Time_per_Generated_ms_std,Model_Fit_Time_mean,Model_Fit_Time_std
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,SMOTE,Baseline,--,LightGBM,0.8666,0.0043,0.889,0.0081,0.9581,0.0044,0.9144,0.0029,2590.4,0.5477,0.088,0.0182,0.034,0.007,0.2781,0.0866
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,SMOTE,Baseline,--,RF,0.8594,0.0049,0.8757,0.0093,0.9504,0.0034,0.9062,0.0047,2590.4,0.5477,0.088,0.0182,0.034,0.007,2.7488,0.2116
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,SVMSMOTE,Baseline,--,DT,0.7858,0.0121,0.8373,0.0128,0.7071,0.0095,0.8685,0.0055,2590.4,0.5477,0.657,0.1593,0.2537,0.0615,0.1603,0.029
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,SVMSMOTE,Baseline,--,LightGBM,0.8519,0.0055,0.9011,0.008,0.9589,0.0022,0.9164,0.0047,2590.4,0.5477,0.657,0.1593,0.2537,0.0615,0.3403,0.0824
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,SVMSMOTE,Baseline,--,RF,0.8256,0.0086,0.9132,0.0092,0.9474,0.0029,0.9148,0.0063,2590.4,0.5477,0.657,0.1593,0.2537,0.0615,3.0096,0.2182
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,ADASYN,Baseline,--,DT,0.3485,0.0947,0.5318,0.1374,0.2025,0.106,0.7191,0.0907,2917.0,7.8102,0.0111,0.0041,0.0038,0.0014,0.088,0.0167
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,ADASYN,Baseline,--,LightGBM,0.5465,0.1054,0.6197,0.1295,0.6217,0.0716,0.7807,0.079,2917.0,7.8102,0.0111,0.0041,0.0038,0.0014,0.2258,0.0501
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,ADASYN,Baseline,--,RF,0.5555,0.1136,0.4636,0.0836,0.5334,0.0993,0.6765,0.0599,2917.0,7.8102,0.0111,0.0041,0.0038,0.0014,1.2417,0.2168
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,DT,0.139,0.0984,0.6015,0.089,0.0831,0.0386,0.7399,0.0425,5.0,0.0,0.1003,0.0013,20.0548,0.2551,0.0077,0.0007
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,LightGBM,0.7471,0.0642,0.5,0.0671,0.6681,0.065,0.7049,0.0475,5.0,0.0,0.1003,0.0013,20.0548,0.2551,0.0867,0.0187
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,RF,0.1527,0.1849,0.1182,0.0944,0.1387,0.0991,0.2943,0.1858,5.0,0.0,0.1003,0.0013,20.0548,0.2551,0.2799,0.012
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,DT,0.1085,0.0247,0.6197,0.0537,0.0727,0.0149,0.7521,0.0275,2.6,0.8944,0.2215,0.1782,145.7006,219.8979,0.0082,0.0014
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,LightGBM,0.7197,0.1357,0.447,0.1598,0.6636,0.133,0.6591,0.1188,2.6,0.8944,0.2215,0.1782,145.7006,219.8979,0.0881,0.0187
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,RF,0.2357,0.271,0.1515,0.1226,0.1803,0.1235,0.3366,0.2126,2.6,0.8944,0.2215,0.1782,145.7006,219.8979,0.2991,0.0754
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,DT,0.5343,0.1155,0.5152,0.1237,0.2918,0.1137,0.711,0.0874,292.2,0.8367,0.0307,0.0023,0.1051,0.0078,0.0114,0.0004
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,LightGBM,0.8295,0.0286,0.497,0.11,0.694,0.0832,0.701,0.0768,292.2,0.8367,0.0307,0.0023,0.1051,0.0078,0.1673,0.0048
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,RF,0.4,0.4183,0.0682,0.0703,0.5914,0.1472,0.1996,0.188,292.2,0.8367,0.0307,0.0023,0.1051,0.0078,0.344,0.0219
