Dataset,OpenML_ID,Feature_Interval,IR,IR_Category,Features,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,BSSMOTE w/o SVM,w/o SVM,--,0.7238 ± 0.0122,0.7756 ± 0.0124,0.8424 ± 0.0092,0.8203 ± 0.0081
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.7335 ± 0.0162,0.7474 ± 0.0166,0.8303 ± 0.0099,0.8101 ± 0.0088
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.7299 ± 0.0145,0.7516 ± 0.0157,0.8309 ± 0.0101,0.8112 ± 0.0093
Vehicle,994,10 < Features <= 30,2.8807,Low,18,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.8809 ± 0.0601,0.9127 ± 0.0594,0.8289 ± 0.0896,0.9344 ± 0.0397
Vehicle,994,10 < Features <= 30,2.8807,Low,18,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.8803 ± 0.0454,0.9127 ± 0.0730,0.8275 ± 0.0804,0.9341 ± 0.0421
Vehicle,994,10 < Features <= 30,2.8807,Low,18,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9335 ± 0.0500,0.9356 ± 0.0378,0.8904 ± 0.0599,0.9555 ± 0.0233
Vehicle,994,10 < Features <= 30,2.8807,Low,18,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9328 ± 0.0473,0.9308 ± 0.0521,0.8864 ± 0.0644,0.9529 ± 0.0298
Vehicle,994,10 < Features <= 30,2.8807,Low,18,DT,BSSMOTE w/o SVM,w/o SVM,--,0.9198 ± 0.0466,0.9447 ± 0.0422,0.8845 ± 0.0710,0.9578 ± 0.0287
Vehicle,994,10 < Features <= 30,2.8807,Low,18,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.8770 ± 0.0452,0.9127 ± 0.0473,0.8240 ± 0.0644,0.9336 ± 0.0293
Vehicle,994,10 < Features <= 30,2.8807,Low,18,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.8856 ± 0.0433,0.9217 ± 0.0583,0.8376 ± 0.0714,0.9397 ± 0.0346
Vehicle,994,10 < Features <= 30,2.8807,Low,18,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.9697 ± 0.0357,0.9862 ± 0.0207,0.9937 ± 0.0084,0.9874 ± 0.0101
Vehicle,994,10 < Features <= 30,2.8807,Low,18,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.9614 ± 0.0435,0.9770 ± 0.0285,0.9944 ± 0.0051,0.9811 ± 0.0135
Vehicle,994,10 < Features <= 30,2.8807,Low,18,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9821 ± 0.0290,0.9630 ± 0.0454,0.9967 ± 0.0032,0.9780 ± 0.0228
Vehicle,994,10 < Features <= 30,2.8807,Low,18,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9691 ± 0.0333,0.9723 ± 0.0255,0.9965 ± 0.0032,0.9804 ± 0.0131
Vehicle,994,10 < Features <= 30,2.8807,Low,18,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.9733 ± 0.0290,0.9815 ± 0.0194,0.9940 ± 0.0071,0.9859 ± 0.0112
Vehicle,994,10 < Features <= 30,2.8807,Low,18,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.9651 ± 0.0395,0.9722 ± 0.0382,0.9938 ± 0.0068,0.9795 ± 0.0193
Vehicle,994,10 < Features <= 30,2.8807,Low,18,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.9607 ± 0.0470,0.9723 ± 0.0195,0.9938 ± 0.0074,0.9789 ± 0.0156
Vehicle,994,10 < Features <= 30,2.8807,Low,18,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.9591 ± 0.0293,0.9633 ± 0.0259,0.9939 ± 0.0041,0.9744 ± 0.0161
Vehicle,994,10 < Features <= 30,2.8807,Low,18,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.9732 ± 0.0290,0.9770 ± 0.0164,0.9960 ± 0.0035,0.9836 ± 0.0097
Vehicle,994,10 < Features <= 30,2.8807,Low,18,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9774 ± 0.0225,0.9677 ± 0.0264,0.9959 ± 0.0039,0.9797 ± 0.0131
Vehicle,994,10 < Features <= 30,2.8807,Low,18,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9821 ± 0.0290,0.9770 ± 0.0164,0.9966 ± 0.0032,0.9852 ± 0.0098
Vehicle,994,10 < Features <= 30,2.8807,Low,18,RF,BSSMOTE w/o SVM,w/o SVM,--,0.9728 ± 0.0297,0.9676 ± 0.0311,0.9922 ± 0.0077,0.9789 ± 0.0176
Vehicle,994,10 < Features <= 30,2.8807,Low,18,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.9727 ± 0.0296,0.9631 ± 0.0265,0.9938 ± 0.0047,0.9766 ± 0.0154
Vehicle,994,10 < Features <= 30,2.8807,Low,18,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.9691 ± 0.0333,0.9770 ± 0.0164,0.9946 ± 0.0052,0.9828 ± 0.0102
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.3228 ± 0.0461,0.3936 ± 0.1115,0.2889 ± 0.0321,0.5320 ± 0.0664
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.3390 ± 0.0401,0.4277 ± 0.1219,0.2988 ± 0.0274,0.5542 ± 0.0632
