Dataset,OpenML_ID,Feature_Interval,IR,IR_Category,Features,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,BorderlineSMOTE,Baseline,--,0.6805 ± 0.1409,0.5682 ± 0.0897,0.6629 ± 0.0997,0.7503 ± 0.0606
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.6757 ± 0.1848,0.4637 ± 0.1490,0.6149 ± 0.0935,0.6722 ± 0.1100
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.3723 ± 0.2819,0.4970 ± 0.1300,0.4588 ± 0.1645,0.6923 ± 0.0999
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,KMeansSMOTE,Baseline,--,0.6667 ± 0.0786,0.5515 ± 0.0938,0.6235 ± 0.0775,0.7389 ± 0.0625
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,None,None,--,0.7936 ± 0.0767,0.4636 ± 0.0836,0.6862 ± 0.0951,0.6781 ± 0.0609
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,SMOTE,Baseline,--,0.6093 ± 0.0614,0.6545 ± 0.1034,0.6067 ± 0.0733,0.8044 ± 0.0607
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,SVMSMOTE,Baseline,--,0.6322 ± 0.1472,0.5864 ± 0.0673,0.6745 ± 0.1057,0.7626 ± 0.0450
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,ADASYN,Baseline,--,0.5555 ± 0.1136,0.4636 ± 0.0836,0.5334 ± 0.0993,0.6765 ± 0.0599
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.1527 ± 0.1849,0.1182 ± 0.0944,0.1387 ± 0.0991,0.2943 ± 0.1858
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.2357 ± 0.2710,0.1515 ± 0.1226,0.1803 ± 0.1235,0.3366 ± 0.2126
