Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Fold,Oversampler,Variant,SVM,Model,Precision,Recall,AUC_PR,GMean,Generated_Samples,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms,Model_Fit_Time_s,Prediction_Time_s,Sampler_Status,Model_Status,Seed
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,3,CTGAN,Deep Tabular,--,LightGBM,0.8235,0.9333,0.9337,0.9646,3960,9.9322,2.5081,2.5081,0.5325,0.015,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,3,TVAE,Deep Tabular,--,DT,0.6364,0.9333,0.5949,0.9622,3960,6.4664,1.6329,1.6329,0.3744,0.0011,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,3,TVAE,Deep Tabular,--,RF,0.6,0.8,0.8782,0.8909,3960,6.4664,1.6329,1.6329,3.0779,0.0265,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,3,TVAE,Deep Tabular,--,LightGBM,0.6667,0.9333,0.8947,0.9627,3960,6.4664,1.6329,1.6329,0.5778,0.0141,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,4,CTGAN,Deep Tabular,--,DT,0.75,0.6,0.4559,0.7734,3960,10.1791,2.5705,2.5705,0.232,0.0014,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,4,CTGAN,Deep Tabular,--,RF,0.8182,0.6,0.8056,0.7738,3960,10.1791,2.5705,2.5705,2.013,0.0232,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,4,CTGAN,Deep Tabular,--,LightGBM,0.8889,0.5333,0.7975,0.7299,3960,10.1791,2.5705,2.5705,0.565,0.0149,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,4,TVAE,Deep Tabular,--,DT,0.5,0.6,0.3059,0.7711,3960,4.4555,1.1251,1.1251,0.2774,0.0009,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,4,TVAE,Deep Tabular,--,RF,1.0,0.6,0.7542,0.7746,3960,4.4555,1.1251,1.1251,2.7441,0.0237,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,4,TVAE,Deep Tabular,--,LightGBM,1.0,0.6,0.7551,0.7746,3960,4.4555,1.1251,1.1251,0.7524,0.0206,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5,CTGAN,Deep Tabular,--,DT,0.55,0.7333,0.4073,0.8525,3960,9.2009,2.3234,2.3234,0.1867,0.0012,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5,CTGAN,Deep Tabular,--,RF,0.8125,0.8667,0.879,0.9296,3960,9.2009,2.3234,2.3234,2.0734,0.0248,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5,CTGAN,Deep Tabular,--,LightGBM,0.8571,0.8,0.8814,0.8935,3960,9.2009,2.3234,2.3234,0.5235,0.0153,success,success,42
