Dataset,OpenML_ID,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean,Generated_Samples,Resample_Time_s
Optdigits,980,DT,TVAE,Deep Tabular,--,0.9074 ± 0.0120,0.8689 ± 0.0299,0.8015 ± 0.0149,0.9273 ± 0.0152,3580.8000 ± 1.0954,13.5810 ± 0.5741
Optdigits,980,LightGBM,TVAE,Deep Tabular,--,0.9872 ± 0.0049,0.9406 ± 0.0235,0.9948 ± 0.0023,0.9691 ± 0.0120,3580.8000 ± 1.0954,13.5810 ± 0.5741
Optdigits,980,RF,TVAE,Deep Tabular,--,1.0000 ± 0.0000,0.8776 ± 0.0205,0.9923 ± 0.0023,0.9368 ± 0.0109,3580.8000 ± 1.0954,13.5810 ± 0.5741
Satellite,40900,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.3259 ± 0.0484,0.8533 ± 0.1282,0.2773 ± 0.0372,0.9086 ± 0.0665,1.6000 ± 0.5477,0.8310 ± 0.1952
Satellite,40900,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.4533 ± 0.0716,0.7867 ± 0.1192,0.7996 ± 0.0994,0.8784 ± 0.0688,1.6000 ± 0.5477,0.8310 ± 0.1952
Satellite,40900,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.4453 ± 0.0819,0.8533 ± 0.0869,0.7946 ± 0.0852,0.9150 ± 0.0438,1.6000 ± 0.5477,0.8310 ± 0.1952
Satellite,40900,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.3470 ± 0.0430,0.8400 ± 0.1382,0.2919 ± 0.0444,0.9026 ± 0.0727,4.6000 ± 1.6733,1.0526 ± 0.5218
Satellite,40900,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.4695 ± 0.0964,0.8000 ± 0.1491,0.7717 ± 0.0628,0.8849 ± 0.0826,4.6000 ± 1.6733,1.0526 ± 0.5218
Satellite,40900,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.4426 ± 0.0735,0.8533 ± 0.0869,0.7899 ± 0.0892,0.9150 ± 0.0438,4.6000 ± 1.6733,1.0526 ± 0.5218
Satellite,40900,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.6591 ± 0.1280,0.7333 ± 0.1054,0.4783 ± 0.0597,0.8517 ± 0.0598,20.4000 ± 17.8550,0.0472 ± 0.0364
Satellite,40900,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9057 ± 0.0721,0.6666 ± 0.1247,0.8291 ± 0.0730,0.8131 ± 0.0777,20.4000 ± 17.8550,0.0472 ± 0.0364
Satellite,40900,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8859 ± 0.0825,0.6400 ± 0.1299,0.8302 ± 0.0904,0.7960 ± 0.0837,20.4000 ± 17.8550,0.0472 ± 0.0364
Satellite,40900,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.5644 ± 0.0334,0.5600 ± 0.1535,0.3210 ± 0.0768,0.7396 ± 0.1061,546.6000 ± 206.9633,0.1239 ± 0.0619
Satellite,40900,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9211 ± 0.0839,0.6800 ± 0.1726,0.8431 ± 0.0775,0.8186 ± 0.1070,546.6000 ± 206.9633,0.1239 ± 0.0619
Satellite,40900,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9381 ± 0.0852,0.6400 ± 0.1739,0.8272 ± 0.0876,0.7933 ± 0.1125,546.6000 ± 206.9633,0.1239 ± 0.0619
Satellite,40900,DT,BSSMOTE w/o SVM,w/o SVM,--,0.2649 ± 0.0558,0.7867 ± 0.1282,0.2150 ± 0.0662,0.8696 ± 0.0727,3108.6000 ± 4.8270,1.0270 ± 0.4125
Satellite,40900,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.4200 ± 0.0699,0.8267 ± 0.0596,0.7732 ± 0.0575,0.9007 ± 0.0307,3108.6000 ± 4.8270,1.0270 ± 0.4125
Satellite,40900,RF,BSSMOTE w/o SVM,w/o SVM,--,0.4911 ± 0.0529,0.8000 ± 0.1054,0.7923 ± 0.0784,0.8872 ± 0.0584,3108.6000 ± 4.8270,1.0270 ± 0.4125
Satellite,40900,DT,CTGAN,Deep Tabular,--,0.6325 ± 0.1176,0.6667 ± 0.1054,0.4226 ± 0.0754,0.8118 ± 0.0636,3960.0000 ± 0.0000,10.1135 ± 0.5958
Satellite,40900,LightGBM,CTGAN,Deep Tabular,--,0.8763 ± 0.0376,0.7200 ± 0.1789,0.8464 ± 0.0667,0.8424 ± 0.1067,3960.0000 ± 0.0000,10.1135 ± 0.5958
Satellite,40900,RF,CTGAN,Deep Tabular,--,0.8332 ± 0.0355,0.7067 ± 0.1383,0.8437 ± 0.0630,0.8364 ± 0.0830,3960.0000 ± 0.0000,10.1135 ± 0.5958
Satellite,40900,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.3380 ± 0.0383,0.8400 ± 0.1115,0.2852 ± 0.0401,0.9032 ± 0.0600,23.0000 ± 18.8016,1.1319 ± 0.6256
Satellite,40900,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.4522 ± 0.0770,0.8000 ± 0.1491,0.7972 ± 0.0766,0.8845 ± 0.0824,23.0000 ± 18.8016,1.1319 ± 0.6256
Satellite,40900,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.4562 ± 0.0694,0.8667 ± 0.0816,0.7972 ± 0.0904,0.9225 ± 0.0405,23.0000 ± 18.8016,1.1319 ± 0.6256
Satellite,40900,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.3245 ± 0.0833,0.7867 ± 0.1095,0.2611 ± 0.0843,0.8737 ± 0.0602,499.2000 ± 59.1583,1.0610 ± 0.3451
Satellite,40900,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.3934 ± 0.0654,0.8400 ± 0.1116,0.7556 ± 0.0939,0.9056 ± 0.0584,499.2000 ± 59.1583,1.0610 ± 0.3451
Satellite,40900,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.4903 ± 0.0871,0.8400 ± 0.1011,0.7704 ± 0.0818,0.9090 ± 0.0552,499.2000 ± 59.1583,1.0610 ± 0.3451
Satellite,40900,DT,TVAE,Deep Tabular,--,0.5149 ± 0.0763,0.6800 ± 0.1445,0.3618 ± 0.1309,0.8173 ± 0.0828,3960.0000 ± 0.0000,5.3939 ± 0.9680
Satellite,40900,LightGBM,TVAE,Deep Tabular,--,0.8496 ± 0.1241,0.7200 ± 0.1366,0.8136 ± 0.0580,0.8445 ± 0.0776,3960.0000 ± 0.0000,5.3939 ± 0.9680
Satellite,40900,RF,TVAE,Deep Tabular,--,0.7848 ± 0.1580,0.6800 ± 0.1193,0.7979 ± 0.0713,0.8206 ± 0.0719,3960.0000 ± 0.0000,5.3939 ± 0.9680
