Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Majority_Count,Minority_Count,Fold,Oversampler,Variant,SVM,Model,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms,Model_Fit_Time_s,Prediction_Time_s,Sampler_Status,Model_Status,Seed
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,Full BSSMOTE Linear,Full BSSMOTE,Linear,LightGBM,0.5,0.7333,0.7599,0.8516,1,1.0,850.0,-849.0,1.0334,1033.3514,1033.3514,0.1448,0.0169,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,Full BSSMOTE RBF,Full BSSMOTE,RBF,DT,0.4483,0.8667,0.3905,0.9235,507,507.0,850.0,-343.0,1.0692,2.109,2.109,0.065,0.001,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,Full BSSMOTE RBF,Full BSSMOTE,RBF,RF,0.55,0.7333,0.7168,0.8525,507,507.0,850.0,-343.0,1.0692,2.109,2.109,0.7861,0.0233,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,Full BSSMOTE RBF,Full BSSMOTE,RBF,LightGBM,0.4583,0.7333,0.6854,0.8508,507,507.0,850.0,-343.0,1.0692,2.109,2.109,0.3701,0.014,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,DT,0.75,0.6,0.4559,0.7734,3,3.0,0.0,3.0,0.0195,6.4887,6.4887,0.0558,0.0009,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,RF,0.7778,0.4667,0.7842,0.6824,3,3.0,0.0,3.0,0.0195,6.4887,6.4887,0.7306,0.0213,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,LightGBM,0.8889,0.5333,0.8047,0.7299,3,3.0,0.0,3.0,0.0195,6.4887,6.4887,0.18,0.0149,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,DT,0.5556,0.3333,0.195,0.5762,772,772.0,0.0,772.0,0.0785,0.1016,0.1016,0.0988,0.0009,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,RF,1.0,0.4,0.8082,0.6325,772,772.0,0.0,772.0,0.0785,0.1016,0.1016,1.0298,0.0214,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,LightGBM,1.0,0.4667,0.8165,0.6831,772,772.0,0.0,772.0,0.0785,0.1016,0.1016,0.4423,0.0125,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,DT,0.3846,0.6667,0.2613,0.81,2,2.0,850.0,-848.0,0.6135,306.7443,306.7443,0.0708,0.0009,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,RF,0.5714,0.8,0.7361,0.8904,2,2.0,850.0,-848.0,0.6135,306.7443,306.7443,0.5832,0.0212,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,LightGBM,0.5217,0.8,0.7368,0.8895,2,2.0,850.0,-848.0,0.6135,306.7443,306.7443,0.144,0.0172,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,DT,0.4,0.6667,0.2716,0.8104,6,6.0,850.0,-844.0,0.7926,132.1054,132.1054,0.0557,0.001,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,RF,0.5714,0.8,0.7475,0.8904,6,6.0,850.0,-844.0,0.7926,132.1054,132.1054,0.6219,0.0218,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,LightGBM,0.6111,0.7333,0.7801,0.8534,6,6.0,850.0,-844.0,0.7926,132.1054,132.1054,0.1471,0.017,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,BSSMOTE w/o SVM,w/o SVM,--,DT,0.3158,0.8,0.2556,0.8828,3110,3110.0,842.0,2268.0,1.0016,0.3221,0.3221,0.3071,0.0013,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,BSSMOTE w/o SVM,w/o SVM,--,RF,0.4762,0.6667,0.6974,0.812,3110,3110.0,842.0,2268.0,1.0016,0.3221,0.3221,3.1479,0.0438,success,success,42
