Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Oversampler,Variant,SVM,Model,Precision_mean,Precision_std,Recall_mean,Recall_std,AUC_PR_mean,AUC_PR_std,GMean_mean,GMean_std,Generated_Samples_mean,Generated_Samples_std,Resample_Time_mean,Resample_Time_std,Time_per_Generated_ms_mean,Time_per_Generated_ms_std,Model_Fit_Time_mean,Model_Fit_Time_std
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,Full BSSMOTE RBF,Full BSSMOTE,RBF,RF,1.0,0.0,0.83,0.0542,0.9947,0.0054,0.9106,0.0296,117.4,32.7002,0.2245,0.168,1.8115,0.8286,1.2147,0.209
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,TVAE,Deep Tabular,--,DT,0.8538,0.0368,0.835,0.0627,0.7291,0.0526,0.9058,0.0329,1280.0,0.0,13.9718,0.3901,10.9155,0.3048,0.2365,0.0446
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,TVAE,Deep Tabular,--,LightGBM,0.9895,0.0144,0.935,0.0418,0.9903,0.0097,0.9662,0.0216,1280.0,0.0,13.9718,0.3901,10.9155,0.3048,0.8042,0.1812
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,TVAE,Deep Tabular,--,RF,0.9875,0.0172,0.845,0.0925,0.9899,0.0074,0.9176,0.0517,1280.0,0.0,13.9718,0.3901,10.9155,0.3048,2.1521,0.3289
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,DT,0.7889,0.0525,0.8847,0.0222,0.7105,0.0603,0.9277,0.0148,35.2,13.2552,0.8449,0.1095,26.4195,9.0794,0.0491,0.0067
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,LightGBM,0.9664,0.0095,0.9546,0.0169,0.9922,0.0038,0.9751,0.0088,35.2,13.2552,0.8449,0.1095,26.4195,9.0794,0.2271,0.0143
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,RF,0.9866,0.0087,0.9108,0.0311,0.9905,0.0034,0.9536,0.0166,35.2,13.2552,0.8449,0.1095,26.4195,9.0794,0.5734,0.0144
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,DT,0.7943,0.0241,0.8881,0.0297,0.717,0.034,0.9299,0.0158,8.4,2.9665,0.8619,0.1351,112.9926,42.4814,0.0448,0.0036
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,LightGBM,0.9662,0.0078,0.951,0.0261,0.992,0.0054,0.9733,0.0137,8.4,2.9665,0.8619,0.1351,112.9926,42.4814,0.2083,0.0058
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,RF,0.9847,0.011,0.9074,0.0251,0.9903,0.0051,0.9517,0.0136,8.4,2.9665,0.8619,0.1351,112.9926,42.4814,0.5635,0.012
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,DT,0.8645,0.0388,0.8759,0.0301,0.7691,0.0233,0.9283,0.0139,153.4,45.4786,0.123,0.0402,0.8661,0.3306,0.0888,0.0119
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,LightGBM,0.9926,0.0077,0.9423,0.0171,0.9951,0.0022,0.9703,0.0091,153.4,45.4786,0.123,0.0402,0.8661,0.3306,0.4804,0.0357
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,RF,0.9921,0.0083,0.8882,0.0271,0.9927,0.0031,0.942,0.0146,153.4,45.4786,0.123,0.0402,0.8661,0.3306,1.068,0.1413
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,DT,0.8574,0.0266,0.8549,0.0306,0.7475,0.0233,0.9169,0.0155,410.2,51.1048,0.3112,0.0859,0.7849,0.2715,0.0953,0.0216
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,LightGBM,0.9907,0.0066,0.9441,0.0259,0.9943,0.0013,0.9711,0.0136,410.2,51.1048,0.3112,0.0859,0.7849,0.2715,0.8542,0.0826
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,RF,1.0,0.0,0.8916,0.03,0.9936,0.0043,0.9442,0.0158,410.2,51.1048,0.3112,0.0859,0.7849,0.2715,1.0459,0.1294
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,BSSMOTE w/o SVM,w/o SVM,--,DT,0.7665,0.0262,0.8846,0.0314,0.6895,0.0244,0.9258,0.0151,3000.6,6.0663,0.8618,0.1873,0.2872,0.0625,0.3704,0.0283
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,BSSMOTE w/o SVM,w/o SVM,--,LightGBM,0.9701,0.016,0.9615,0.0147,0.9932,0.003,0.9789,0.0082,3000.6,6.0663,0.8618,0.1873,0.2872,0.0625,0.7773,0.1726
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,BSSMOTE w/o SVM,w/o SVM,--,RF,0.9849,0.0053,0.9126,0.0372,0.9917,0.0026,0.9544,0.0196,3000.6,6.0663,0.8618,0.1873,0.2872,0.0625,2.7713,0.2139
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,CTGAN,Deep Tabular,--,DT,0.8584,0.028,0.8969,0.0415,0.7806,0.0435,0.9388,0.0219,3580.8,1.0954,20.2542,0.4814,5.6563,0.1343,0.3134,0.1168
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,CTGAN,Deep Tabular,--,LightGBM,0.9891,0.0075,0.9493,0.0242,0.9943,0.0023,0.9737,0.0124,3580.8,1.0954,20.2542,0.4814,5.6563,0.1343,1.1143,0.2486
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,CTGAN,Deep Tabular,--,RF,0.9923,0.0043,0.8987,0.0466,0.9889,0.0046,0.9474,0.0246,3580.8,1.0954,20.2542,0.4814,5.6563,0.1343,2.6124,0.3216
